2026-03-23 20:41:33,338 | INFO | nba_pipeline.parse_all | Starting FULL parse pipeline
2026-03-23 20:41:35,704 | INFO | nba_pipeline.parse_meta | snapshot_injuries_history: as_of_date=2026-03-23  rows=319
2026-03-23 20:41:35,750 | INFO | nba_pipeline.parse_meta | Done. venues=40 injuries=133 injuries_history=319 standings_rows=60
2026-03-23 20:41:38,021 | INFO | nba_pipeline.parse_games | Parsed season=2025-2026-regular fetched_at=2026-01-28 22:48:24.871043-08:00 games=1230
2026-03-23 20:41:38,105 | INFO | nba_pipeline.parse_games | Parsed season=2024-2025-regular fetched_at=2026-01-26 09:48:19.000078-08:00 games=1230
2026-03-23 20:41:38,370 | INFO | nba_pipeline.parse_games | Updated 915 game rows from games_by_date payloads
2026-03-23 20:41:38,557 | INFO | nba_pipeline.parse_games | Synced scores for 292 games from nba_boxscore_games
2026-03-23 20:41:38,557 | INFO | nba_pipeline.parse_games | Done. Total processed=3375
2026-03-23 20:41:43,448 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=250 total_rows=2559
2026-03-23 20:41:44,365 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=500 total_rows=5071
2026-03-23 20:41:45,384 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=750 total_rows=7557
2026-03-23 20:41:46,306 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=1000 total_rows=10018
2026-03-23 20:41:47,399 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=1250 total_rows=12537
2026-03-23 20:41:48,517 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=1500 total_rows=15046
2026-03-23 20:41:49,816 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=1750 total_rows=17531
2026-03-23 20:41:50,864 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=2000 total_rows=19981
2026-03-23 20:41:51,826 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=2250 total_rows=22448
2026-03-23 20:41:52,801 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=2500 total_rows=24942
2026-03-23 20:41:53,807 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=2750 total_rows=27565
2026-03-23 20:41:54,749 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=3000 total_rows=30092
2026-03-23 20:41:55,691 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=3250 total_rows=32545
2026-03-23 20:41:56,693 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=3500 total_rows=35084
2026-03-23 20:41:57,624 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=3750 total_rows=37596
2026-03-23 20:41:58,193 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=4000 total_rows=39020
2026-03-23 20:41:58,260 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=4250 total_rows=39204
2026-03-23 20:41:58,496 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=4500 total_rows=39816
2026-03-23 20:41:58,496 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=4750 total_rows=39816
2026-03-23 20:41:58,637 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=5000 total_rows=40150
2026-03-23 20:41:58,871 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=5250 total_rows=40765
2026-03-23 20:41:59,027 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=5500 total_rows=41157
2026-03-23 20:41:59,105 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=5750 total_rows=41363
2026-03-23 20:41:59,183 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=6000 total_rows=41541
2026-03-23 20:41:59,214 | INFO | nba_pipeline.parse_player_gamelogs | Committed player_gamelogs: payloads=6250 total_rows=41645
2026-03-23 20:41:59,308 | INFO | nba_pipeline.parse_player_gamelogs | Done player_gamelogs: payloads=6485 rows=41814
2026-03-23 20:42:04,787 | INFO | nba_pipeline.parse_lineup | Committed lineups: payloads=500 rows=1000
2026-03-23 20:42:05,391 | INFO | nba_pipeline.parse_lineup | Committed lineups: payloads=1000 rows=2000
2026-03-23 20:42:05,932 | INFO | nba_pipeline.parse_lineup | Committed lineups: payloads=1500 rows=3000
2026-03-23 20:42:06,230 | INFO | nba_pipeline.parse_lineup | Committed lineups: payloads=2000 rows=4000
2026-03-23 20:42:06,671 | INFO | nba_pipeline.parse_lineup | Done lineups: payloads=2449 rows=4898
2026-03-23 20:42:12,938 | INFO | nba_pipeline.parse_boxscore | Upserting batch processed=250 (games=250 teams=500 players=5460)
2026-03-23 20:42:15,938 | INFO | nba_pipeline.parse_boxscore | Upserting batch processed=500 (games=250 teams=500 players=5322)
2026-03-23 20:42:18,579 | INFO | nba_pipeline.parse_boxscore | Upserting batch processed=750 (games=250 teams=500 players=5376)
2026-03-23 20:42:20,865 | INFO | nba_pipeline.parse_boxscore | Upserting batch processed=1000 (games=250 teams=500 players=5284)
2026-03-23 20:42:23,260 | INFO | nba_pipeline.parse_boxscore | Upserting batch processed=1250 (games=250 teams=500 players=5302)
